Categorii de pomi fructiferi, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Pruni, Total, Iasi, Anul 2001, Numar, 856105
Pruni, Total, Iasi, Anul 2002, Numar, 910281
Pruni, Total, Iasi, Anul 2003, Numar, 932376
Pruni, Total, Iasi, Anul 2004, Numar, 861320
Pruni, Total, Iasi, Anul 2005, Numar, 942656
Pruni, Total, Iasi, Anul 2006, Numar, 862445
Pruni, Total, Iasi, Anul 2007, Numar, 725220
Pruni, Total, Iasi, Anul 2008, Numar, 755457
Pruni, Total, Iasi, Anul 2009, Numar, 661885
Pruni, Total, Iasi, Anul 2010, Numar, 654091
Pruni, Total, Iasi, Anul 2011, Numar, 630070
Pruni, Total, Iasi, Anul 2012, Numar, 623688
Pruni, Total, Iasi, Anul 2013, Numar, 555423
Pruni, Total, Iasi, Anul 2014, Numar, 724014
Pruni, Total, Iasi, Anul 2015, Numar, 630417
Pruni, Total, Iasi, Anul 2016, Numar, 521628
Pruni, Total, Iasi, Anul 2017, Numar, 521151
Pruni, Total, Iasi, Anul 2018, Numar, 521533
Pruni, Total, Iasi, Anul 2019, Numar, 520582
Pruni, Total, Iasi, Anul 2020, Numar, 518988
Pruni, Total, Iasi, Anul 2021, Numar, 567863
Pruni, Total, Iasi, Anul 2022, Numar, 552282
Pruni, Total, Iasi, Anul 2023, Numar, 566804
Pruni, Total, Iasi, Anul 2024, Numar, 553741
Pruni, Total, Neamt, Anul 2000, Numar, 641800
Pruni, Total, Neamt, Anul 2001, Numar, 613078
Pruni, Total, Neamt, Anul 2002, Numar, 639741
Pruni, Total, Neamt, Anul 2003, Numar, 605846
Pruni, Total, Neamt, Anul 2004, Numar, 582056
Pruni, Total, Neamt, Anul 2005, Numar, 573580
Pruni, Total, Neamt, Anul 2006, Numar, 545150
Pruni, Total, Neamt, Anul 2007, Numar, 277740
Pruni, Total, Neamt, Anul 2008, Numar, 274819
Pruni, Total, Neamt, Anul 2009, Numar, 282373
Pruni, Total, Neamt, Anul 2010, Numar, 290078
Pruni, Total, Neamt, Anul 2011, Numar, 283360
Pruni, Total, Neamt, Anul 2012, Numar, 277304
Pruni, Total, Neamt, Anul 2013, Numar, 278908
Pruni, Total, Neamt, Anul 2014, Numar, 282471
Pruni, Total, Neamt, Anul 2015, Numar, 234933
Pruni, Total, Neamt, Anul 2016, Numar, 281198
Pruni, Total, Neamt, Anul 2017, Numar, 279855
Pruni, Total, Neamt, Anul 2018, Numar, 280157
Pruni, Total, Neamt, Anul 2019, Numar, 285113
Pruni, Total, Neamt, Anul 2020, Numar, 279744
Pruni, Total, Neamt, Anul 2021, Numar, 277836
Pruni, Total, Neamt, Anul 2022, Numar, 277640
Pruni, Total, Neamt, Anul 2023, Numar, 280783
Pruni, Total, Neamt, Anul 2024, Numar, 279326
Pruni, Total, Suceava, Anul 2000, Numar, 358658
Pruni, Total, Suceava, Anul 2001, Numar, 363262
Pruni, Total, Suceava, Anul 2002, Numar, 386196
Pruni, Total, Suceava, Anul 2003, Numar, 408526
Pruni, Total, Suceava, Anul 2004, Numar, 472813
Pruni, Total, Suceava, Anul 2005, Numar, 356145
Pruni, Total, Suceava, Anul 2006, Numar, 398228
Pruni, Total, Suceava, Anul 2007, Numar, 432531
Pruni, Total, Suceava, Anul 2008, Numar, 430821
Pruni, Total, Suceava, Anul 2009, Numar, 432757
Pruni, Total, Suceava, Anul 2010, Numar, 432428
Pruni, Total, Suceava, Anul 2011, Numar, 432172
Pruni, Total, Suceava, Anul 2012, Numar, 429478
Pruni, Total, Suceava, Anul 2013, Numar, 429548
Pruni, Total, Suceava, Anul 2014, Numar, 421771
Pruni, Total, Suceava, Anul 2015, Numar, 425142
Pruni, Total, Suceava, Anul 2016, Numar, 434130
Pruni, Total, Suceava, Anul 2017, Numar, 414249
Pruni, Total, Suceava, Anul 2018, Numar, 414694
Pruni, Total, Suceava, Anul 2019, Numar, 419238
Pruni, Total, Suceava, Anul 2020, Numar, 405174
Pruni, Total, Suceava, Anul 2021, Numar, 389126
Pruni, Total, Suceava, Anul 2022, Numar, 391245
Pruni, Total, Suceava, Anul 2023, Numar, 397508
Pruni, Total, Suceava, Anul 2024, Numar, 397072
Pruni, Total, Vaslui, Anul 2000, Numar, 668706
Pruni, Total, Vaslui, Anul 2001, Numar, 833314
Pruni, Total, Vaslui, Anul 2002, Numar, 819458
Pruni, Total, Vaslui, Anul 2003, Numar, 879802
Pruni, Total, Vaslui, Anul 2004, Numar, 1267316
Pruni, Total, Vaslui, Anul 2005, Numar, 704588
Pruni, Total, Vaslui, Anul 2006, Numar, 708965
Pruni, Total, Vaslui, Anul 2007, Numar, 415166
Pruni, Total, Vaslui, Anul 2008, Numar, 225866
Pruni, Total, Vaslui, Anul 2009, Numar, 231085
Pruni, Total, Vaslui, Anul 2010, Numar, 298760
Pruni, Total, Vaslui, Anul 2011, Numar, 231072
Pruni, Total, Vaslui, Anul 2012, Numar, 270556
Pruni, Total, Vaslui, Anul 2013, Numar, 283436
Pruni, Total, Vaslui, Anul 2014, Numar, 205899
Pruni, Total, Vaslui, Anul 2015, Numar, 218720
Pruni, Total, Vaslui, Anul 2016, Numar, 215569
Pruni, Total, Vaslui, Anul 2017, Numar, 214511
Pruni, Total, Vaslui, Anul 2018, Numar, 207051
Pruni, Total, Vaslui, Anul 2019, Numar, 206933
Pruni, Total, Vaslui, Anul 2020, Numar, 202080
Pruni, Total, Vaslui, Anul 2021, Numar, 243974
Pruni, Total, Vaslui, Anul 2022, Numar, 168888
