An,Judet,Specie_Pomi,Nr_Pomi,Tone_Totale,Kg_per_Pom
 Anul 2010, Bihor,Meri,769558,2522,13
 Anul 2010, Bihor,Meri,769558,2522,25
 Anul 2010, Bihor,Meri,769558,2522,9
 Anul 2010, Bihor,Meri,769558,2522,11
 Anul 2010, Bihor,Meri,769558,2522,22
 Anul 2010, Bihor,Meri,769558,1416,11
 Anul 2010, Bihor,Meri,769558,1416,13
 Anul 2010, Bihor,Meri,769558,1416,25
 Anul 2010, Bihor,Meri,769558,1416,9
 Anul 2010, Bihor,Meri,769558,1416,11
 Anul 2010, Bihor,Meri,769558,1416,22
 Anul 2010, Bihor,Meri,769558,1419,11
 Anul 2010, Bihor,Meri,769558,1419,13
 Anul 2010, Bihor,Meri,769558,1419,25
 Anul 2010, Bihor,Meri,769558,1419,9
 Anul 2010, Bihor,Meri,769558,1419,11
 Anul 2010, Bihor,Meri,769558,1419,22
 Anul 2011, Bihor,Meri,657334,19393,25
 Anul 2011, Bihor,Meri,657334,19393,45
 Anul 2011, Bihor,Meri,657334,19393,19
 Anul 2011, Bihor,Meri,657334,19393,24
 Anul 2011, Bihor,Meri,657334,19393,14
 Anul 2011, Bihor,Meri,657334,19393,18
 Anul 2011, Bihor,Meri,657334,29269,25
 Anul 2011, Bihor,Meri,657334,29269,45
 Anul 2011, Bihor,Meri,657334,29269,19
 Anul 2011, Bihor,Meri,657334,29269,24
 Anul 2011, Bihor,Meri,657334,29269,14
 Anul 2011, Bihor,Meri,657334,29269,18
 Anul 2011, Bihor,Meri,657334,2450,25
 Anul 2011, Bihor,Meri,657334,2450,45
 Anul 2011, Bihor,Meri,657334,2450,19
 Anul 2011, Bihor,Meri,657334,2450,24
 Anul 2011, Bihor,Meri,657334,2450,14
 Anul 2011, Bihor,Meri,657334,2450,18
 Anul 2011, Bihor,Meri,657334,5297,25
 Anul 2011, Bihor,Meri,657334,5297,45
 Anul 2011, Bihor,Meri,657334,5297,19
 Anul 2011, Bihor,Meri,657334,5297,24
 Anul 2011, Bihor,Meri,657334,5297,14
 Anul 2011, Bihor,Meri,657334,5297,18
 Anul 2011, Bihor,Meri,657334,1854,25
 Anul 2011, Bihor,Meri,657334,1854,45
 Anul 2011, Bihor,Meri,657334,1854,19
 Anul 2011, Bihor,Meri,657334,1854,24
 Anul 2011, Bihor,Meri,657334,1854,14
 Anul 2011, Bihor,Meri,657334,1854,18
 Anul 2011, Bihor,Meri,657334,1165,25
 Anul 2011, Bihor,Meri,657334,1165,45
 Anul 2011, Bihor,Meri,657334,1165,19
 Anul 2011, Bihor,Meri,657334,1165,24
 Anul 2011, Bihor,Meri,657334,1165,14
 Anul 2011, Bihor,Meri,657334,1165,18
 Anul 2012, Bihor,Meri,676754,11853,16
 Anul 2012, Bihor,Meri,676754,11853,29
 Anul 2012, Bihor,Meri,676754,11853,14
 Anul 2012, Bihor,Meri,676754,11853,18
 Anul 2012, Bihor,Meri,676754,11853,13
 Anul 2012, Bihor,Meri,676754,11853,16
 Anul 2012, Bihor,Meri,676754,19420,16
