Specie,Judet,An,Numar_Pomi,Kg_pe_Pom,Tone_Totale
Mere, Harghita,2000,571187.0,6.0,3607.0
Mere, Harghita,2001,713764.0,8.0,5464.0
Mere, Harghita,2002,717553.0,8.0,6087.0
Mere, Harghita,2003,687530.0,10.0,6883.0
Mere, Harghita,2004,705312.0,14.0,10223.0
Mere, Harghita,2005,683021.0,10.0,7157.0
Mere, Harghita,2006,554245.0,13.0,7319.0
Mere, Harghita,2007,429466.0,7.0,3084.0
Mere, Harghita,2008,418055.0,10.0,4109.0
Mere, Harghita,2009,337591.0,12.0,4152.0
Mere, Harghita,2010,336814.0,12.0,3917.0
Mere, Harghita,2011,344052.0,17.0,5942.0
Mere, Harghita,2012,336020.0,12.0,3909.0
Mere, Harghita,2013,335481.0,13.0,4368.0
Mere, Harghita,2014,327979.0,12.0,3925.0
Mere, Harghita,2015,325521.0,12.0,3912.0
Mere, Harghita,2016,325190.0,9.0,2935.0
Mere, Harghita,2017,326515.0,10.0,3330.0
Mere, Harghita,2018,324951.0,19.0,6148.0
Mere, Harghita,2019,324682.0,16.0,5236.0
