Judet,An,Kg_pe_Pom,Rootstock_ID,phh2o,clay,sand,silt,soc,nitrogen,cec,temp_medie_vara,precipitatii_vara,umid_sol_rad_vara,temp_medie_an,precipitatii_an,cdd10_an,precipitatii_toamna,temp_medie_toamna,umid_sol_rad_toamna,zile_inghet_toamna,temp_min_iarna,zile_inghet_iarna
Bihor,2008,21.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,22.18,233.2,0.608,11.68,626.3,1708.8,126.5,11.68,0.584,12.0,-11.06,45.0
Bihor,2009,22.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,22.74,171.3,0.563,11.9,584.2,1955.0,196.7,12.65,0.607,6.0,-12.22,48.0
Bihor,2010,13.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,22.11,260.3,0.665,10.85,851.6,1588.3,172.2,10.83,0.656,11.0,-11.21,48.0
Bihor,2011,45.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,22.38,208.1,0.587,11.25,454.8,1821.9,38.2,11.39,0.527,23.0,-11.25,50.0
Bihor,2012,29.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,24.52,130.3,0.549,11.9,473.3,2116.1,108.3,13.46,0.558,2.0,-17.57,58.0
Bihor,2013,36.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,22.88,104.9,0.59,11.66,573.1,1817.6,117.2,12.04,0.567,9.0,-10.7,47.0
Bihor,2014,34.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,21.79,268.3,0.603,12.6,676.0,1773.8,170.0,12.42,0.665,11.0,-6.07,29.0
Bihor,2015,23.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,24.34,160.7,0.57,12.32,624.1,1935.4,228.9,12.15,0.656,7.0,-12.81,43.0
Bihor,2016,19.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,21.99,319.6,0.672,11.26,865.3,1686.1,203.2,11.19,0.648,13.0,-10.7,35.0
Bihor,2017,20.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,23.7,159.2,0.568,11.53,672.3,1817.2,212.0,11.26,0.625,7.0,-18.87,52.0
Bihor,2018,25.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,22.8,237.6,0.63,12.41,679.0,2105.8,103.3,13.48,0.554,9.0,-10.88,43.0
Bihor,2019,23.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,23.81,176.5,0.619,12.75,647.7,1982.7,121.4,14.17,0.557,1.0,-11.68,53.0
Bihor,2020,22.0,3,6.312,42.2,22.213,35.575,21.512,2.871,24.512,22.1,318.1,0.656,11.73,754.5,1716.6,167.0,12.35,0.636,10.0,-7.61,46.0
